iter	MultiClass
566	-0.6910307642
567	-0.6908505883
568	-0.690744588
569	-0.6906836877
570	-0.6904263959
571	-0.6903656827
572	-0.6902492652
573	-0.6901745268
574	-0.6900015013
575	-0.689844714
576	-0.6896387016
577	-0.6894926398
578	-0.6894352002
579	-0.6892311385
580	-0.689159473
581	-0.6889245897
582	-0.6888215412
583	-0.6883335697
584	-0.6882562737
585	-0.6880790579
586	-0.6879965921
587	-0.6877389218
588	-0.6877191536
589	-0.6874960797
590	-0.6873404084
591	-0.6873062547
592	-0.687099468
593	-0.6869676928
594	-0.6869198477
595	-0.6867969705
596	-0.6867245441
597	-0.6866101714
598	-0.6865384989
599	-0.6865317558
600	-0.6863777487
601	-0.6862746251
602	-0.6860205865
603	-0.6859126898
604	-0.6857730974
605	-0.6855523239
606	-0.6853571541
607	-0.6851861134
608	-0.6850746363
609	-0.6849769265
610	-0.6849088569
611	-0.6846875147
612	-0.6846561123
613	-0.684566744
614	-0.684264384
615	-0.6840991316
616	-0.6840162246
617	-0.6837695939
618	-0.683610421
619	-0.6835611259
620	-0.6835317214
621	-0.6834894964
622	-0.6832468957
623	-0.6831688102
624	-0.6830875968
625	-0.6830146549
626	-0.6828191484
627	-0.6827491496
628	-0.6824877012
629	-0.6823421306
630	-0.682308563
631	-0.6821045596
632	-0.6818717017
633	-0.6817561174
634	-0.6815283219
635	-0.6814452701
636	-0.6811305261
637	-0.6809252528
638	-0.6808014658
639	-0.680622976
640	-0.6804751751
641	-0.6801968835
642	-0.6800237716
643	-0.6798707765
644	-0.6797663659
645	-0.6796417747
646	-0.6791631965
647	-0.6789109022
648	-0.678792868
649	-0.678649157
650	-0.6784723421
651	-0.6784327684
652	-0.6783166229
653	-0.6782843681
654	-0.6782665112
655	-0.6781512066
656	-0.6778230599
657	-0.6777740581
658	-0.6775431702
659	-0.6774192063
660	-0.6773635402
661	-0.6771159403
662	-0.6770878096
663	-0.676971712
664	-0.6769569708
665	-0.6768165159
666	-0.6765908905
667	-0.6765295432
668	-0.6764558177
669	-0.6764304287
670	-0.6763897907
671	-0.6762079771
672	-0.6761842898
673	-0.6761067857
674	-0.6758013908
675	-0.6755707063
676	-0.6752892605
677	-0.6751409877
678	-0.6748539889
679	-0.6747739115
680	-0.6747208616
681	-0.6745603074
682	-0.674460237
683	-0.674392076
684	-0.6743115078
685	-0.6741093177
686	-0.6740011772
687	-0.6739218257
688	-0.6738102438
689	-0.6737265786
690	-0.6736498109
691	-0.6735832989
692	-0.6735296302
693	-0.673492925
694	-0.6733401038
695	-0.6731715761
696	-0.6730078782
697	-0.6729910031
698	-0.6726753664
699	-0.6726103149
700	-0.672428427
701	-0.6723384934
702	-0.672310113
703	-0.672169663
704	-0.6718349532
705	-0.6717514549
706	-0.6715252841
707	-0.6714482782
708	-0.6712651365
709	-0.6708753146
710	-0.6707314772
711	-0.6706231851
712	-0.6705211479
713	-0.6701620252
714	-0.6699993778
715	-0.6699475385
716	-0.6699094204
717	-0.6698001738
718	-0.6697502247
719	-0.6695201141
720	-0.6693483932
721	-0.6692955022
722	-0.6690608214
723	-0.6688625197
724	-0.6687254882
725	-0.6686266274
726	-0.6684619606
727	-0.668407703
728	-0.6682603229
729	-0.6680916102
730	-0.6679356995
731	-0.6678755833
732	-0.6678298871
733	-0.667804195
734	-0.6676887105
735	-0.667516114
736	-0.6674940171
737	-0.6672105027
738	-0.6670010481
739	-0.6668826431
740	-0.666728553
741	-0.6665558199
742	-0.6664829477
743	-0.6664615085
744	-0.6663674586
745	-0.6662287873
746	-0.666133862
747	-0.6659736102
748	-0.6659171209
749	-0.6658016784
750	-0.6657195346
751	-0.6656409113
752	-0.6655428818
753	-0.6654454642
754	-0.6651380106
755	-0.6651179741
756	-0.664957545
757	-0.6647734766
758	-0.6646729529
759	-0.6646299994
760	-0.6644103214
761	-0.6642166168
762	-0.6641684876
763	-0.664020903
764	-0.6638622619
765	-0.6635842867
766	-0.6634622884
767	-0.663196133
768	-0.6631531736
769	-0.6630765576
770	-0.6630099055
771	-0.6627541874
772	-0.6626827827
773	-0.6626201572
774	-0.6625266949
775	-0.6624805872
776	-0.662339715
777	-0.6620887444
778	-0.6619147455
779	-0.6617924938
780	-0.6617200968
781	-0.6616374986
782	-0.6615980044
783	-0.6615673791
784	-0.6611726818
785	-0.6609814476
786	-0.6608230024
787	-0.6606909508
788	-0.6606096251
789	-0.6605006069
790	-0.660477507
791	-0.6602843858
792	-0.6600310299
793	-0.6598765971
794	-0.6596149721
795	-0.6594997457
796	-0.6593974546
797	-0.659325609
798	-0.6592609153
799	-0.6591434889
800	-0.6589993922
801	-0.658956234
802	-0.6588269241
803	-0.6587859698
804	-0.6585571641
805	-0.6584567222
806	-0.6583177505
807	-0.6582066272
808	-0.6580568104
809	-0.657885496
810	-0.6578334803
811	-0.6577343798
812	-0.6576701425
813	-0.6575045857
814	-0.6573787934
815	-0.6572433898
816	-0.6570881871
817	-0.6569677349
818	-0.6568127201
819	-0.6567720036
820	-0.6567077013
821	-0.65666128
822	-0.6566156647
823	-0.6565362893
824	-0.6564226809
825	-0.6562698263
826	-0.6562530357
827	-0.6560092061
828	-0.6558845714
829	-0.655829943
830	-0.6557393196
831	-0.6556492473
832	-0.6554822878
833	-0.6552908334
834	-0.6552689838
835	-0.6550891569
836	-0.6547861852
837	-0.6546222018
838	-0.6545552414
839	-0.6543871551
840	-0.6542799848
841	-0.6540716658
842	-0.6539304194
843	-0.6538379639
844	-0.653811524
845	-0.6536183758
846	-0.6535433231
847	-0.6535254432
848	-0.6534332892
849	-0.6533029867
850	-0.6532494903
851	-0.6531893379
852	-0.6530535157
853	-0.6529066359
854	-0.6527234914
855	-0.6526126838
856	-0.6525959051
857	-0.652565198
858	-0.6525473475
859	-0.6524006999
860	-0.6521768219
861	-0.6520784712
862	-0.6520331728
863	-0.6519670388
864	-0.6519288636
865	-0.6517756729
866	-0.6516515048
867	-0.6516281183
868	-0.6512316908
869	-0.6511145924
870	-0.6510206558
871	-0.6508891645
872	-0.6507588249
873	-0.6507102167
874	-0.6505533502
875	-0.650393547
876	-0.6503670941
877	-0.6499779851
878	-0.6498641309
879	-0.6496821627
880	-0.6495834538
881	-0.6495341605
882	-0.6494765408
883	-0.6492237807
884	-0.6490838111
885	-0.6489361675
886	-0.6488136344
887	-0.6487360096
888	-0.6485881459
889	-0.6484394876
890	-0.6483688151
891	-0.6481935979
892	-0.6481413964
893	-0.6480136048
894	-0.6477961241
895	-0.6477095756
896	-0.6476005497
897	-0.6474602288
898	-0.6473194039
899	-0.6472260636
900	-0.6471304713
901	-0.6469695909
902	-0.6468893912
903	-0.646827348
904	-0.6467442221
905	-0.6465435141
906	-0.6463797773
907	-0.6462411216
908	-0.6461182103
909	-0.6460917167
910	-0.6459702543
911	-0.6459079593
912	-0.6457080774
913	-0.6456486573
914	-0.6456281269
915	-0.6455578155
916	-0.6453887224
917	-0.6453147505
918	-0.64519365
919	-0.6450627774
920	-0.644905809
921	-0.6448136668
922	-0.6446881126
923	-0.6445675812
924	-0.6444241949
925	-0.6442974469
926	-0.6441726133
927	-0.6440294172
928	-0.6439859224
929	-0.643918734
930	-0.6438722089
931	-0.6438149689
932	-0.6436534691
933	-0.6436117909
934	-0.6434127419
935	-0.6432736038
936	-0.6431453208
937	-0.6430391358
938	-0.6427784143
939	-0.6425277045
940	-0.6424502729
941	-0.6422134148
942	-0.6421626225
943	-0.6420985581
944	-0.6419956092
945	-0.6418820232
946	-0.6418478202
947	-0.6417931676
948	-0.6416661034
949	-0.641456399
950	-0.6413835349
951	-0.6413549297
952	-0.6411234908
953	-0.641050109
954	-0.6409738895
955	-0.640920241
956	-0.6408942566
957	-0.6408577344
958	-0.6405848721
959	-0.6404913827
960	-0.6403648205
961	-0.6403282436
962	-0.6401376921
963	-0.6400002913
964	-0.6398333774
965	-0.6397926125
966	-0.639723406
967	-0.6395392053
968	-0.6393411567
969	-0.6392467931
970	-0.6391253386
971	-0.6390633678
972	-0.6389161976
973	-0.6387699802
974	-0.6387240204
975	-0.6385869638
976	-0.6384108014
977	-0.6383579856
978	-0.6381154852
979	-0.6380076959
980	-0.637912376
981	-0.6377333195
982	-0.6376501844
983	-0.6375262286
984	-0.6374743505
985	-0.6373737638
986	-0.6371955777
987	-0.6371564138
988	-0.6371033951
989	-0.6369557106
990	-0.6369076302
991	-0.6368132747
992	-0.6367654814
993	-0.6366725429
994	-0.6366078848
995	-0.6364163661
996	-0.6362643848
997	-0.6361197631
998	-0.6360700332
999	-0.6360034629
1000	-0.6358520618
1001	-0.6357661936
1002	-0.6357503709
1003	-0.6356477625
1004	-0.6355229049
1005	-0.6353889685
1006	-0.635302774
1007	-0.6351125472
1008	-0.6350766638
1009	-0.6350082379
1010	-0.6349856845
1011	-0.634835248
1012	-0.6346721283
1013	-0.6344297128
1014	-0.6343205742
1015	-0.6342013298
1016	-0.6340502053
1017	-0.6339322819
1018	-0.6338092784
1019	-0.6337144973
1020	-0.6335590476
1021	-0.6333743177
1022	-0.6333184152
1023	-0.633225592
1024	-0.6331939804
1025	-0.6331627226
1026	-0.6330711624
1027	-0.6329960606
1028	-0.6329688883
1029	-0.6328704577
1030	-0.6327401742
1031	-0.6324750727
1032	-0.6323404207
1033	-0.6323178559
1034	-0.632199781
1035	-0.6321331073
1036	-0.63208577
1037	-0.6319030779
1038	-0.6318534119
1039	-0.6317602548
1040	-0.6317287704
1041	-0.6316315904
1042	-0.6315144664
1043	-0.6313793621
1044	-0.6311728802
1045	-0.6311018692
1046	-0.6309515198
1047	-0.6308401239
1048	-0.6307582682
1049	-0.6306507438
